,address,latitude,longitude,us_state,name
85,8 Menomonie Terrace,38.9087,-77.0414,District of Columbia,"Scaplehorn,Kipper"
86,54121 Marquette Point,27.981,-81.6736,Florida,"Boni,Millisent"
87,67 Eggendart Parkway,47.0662,-122.1132,Washington,"Dougill,Filip"
88,1 Roth Street,34.734,-86.5229,Alabama,"Vineall,Melonie"
89,7 Cardinal Road,40.0018,-75.1179,Pennsylvania,"Rosenberg,Cale"
90,12 Pine View Alley,35.9901,-83.9622,Tennessee,"Fenn,Rheta"
91,2 Sunnyside Way,33.5446,-86.9292,Alabama,"Minear,Hilary"
92,0982 Maywood Crossing,26.6644,-80.1741,Florida,"Lockley,Constantina"
93,280 Weeping Birch Crossing,41.8119,-87.6873,Illinois,"Frankcombe,Katrine"
94,5 1st Trail,38.8976,-77.027,District of Columbia,"MacKain,Jarrid"
95,8329 Messerschmidt Point,36.0119,-115.0433,Nevada,"Alldred,Ned"
96,8 Goodland Court,33.386,-82.091,Georgia,"Oakwood,Karla"
97,43754 Lyons Road,26.9668,-81.9545,Florida,"Peatman,Say"
98,3410 Merchant Pass,33.7866,-118.2987,California,"Yann,Morse"
99,76 Dwight Drive,41.119,-73.733,New York,"Bigly,Jennilee"
100,49113 Lindbergh Trail,30.033,-89.8826,Louisiana,"Ramey,Abel"
101,617 Fairview Circle,36.8686,-76.3552,Virginia,"Cooch,Isabel"
102,25 Atwood Pass,45.6231,-122.5767,Washington,"Richold,Sarine"
103,0828 Moose Court,41.3657,-72.9275,Connecticut,"Delepine,Harp"
104,6 Canary Street,40.5973,-74.0768,New York,"Bows,Waldo"
105,40 Sunfield Street,42.5991,-83.1789,Michigan,"Yter,Gene"
106,097 Pawling Parkway,35.9279,-114.9721,Nevada,"Fryman,Lelia"
107,5 Manufacturers Junction,41.3657,-72.9275,Connecticut,"Sincock,Hyacinthia"
108,15 Pawling Street,32.7065,-97.3375,Texas,"Vayne,Aylmer"
109,55 Kropf Place,38.8933,-77.0146,District of Columbia,"Gettone,Justin"
110,98551 Welch Center,38.8933,-77.0146,District of Columbia,"Gorghetto,Stefania"
111,67709 Center Crossing,44.4601,-88.0074,Wisconsin,"Ferriman,Leigh"
112,0 Bunker Hill Center,45.7246,-111.1238,Montana,"Huggin,Waverly"
113,751 High Crossing Center,44.9806,-93.1771,Minnesota,"Vink,Cesare"
114,2 Little Fleur Way,33.2765,-112.1872,Arizona,"Hendin,Tracey"
115,0 Dawn Avenue,30.0042,-95.1728,Texas,"Webborn,Stinky"
116,878 Magdeline Lane,34.0324,-119.1343,California,"Tosspell,Trudey"
117,4489 Nancy Alley,45.2009,-93.8881,Minnesota,"Szymonowicz,Boy"
118,51836 Oak Pass,38.8247,-104.562,Colorado,"Kubala,Torre"
119,25277 Mifflin Circle,41.7458,-87.6054,Illinois,"Ratazzi,Jenica"
120,1 West Lane,37.5593,-77.4471,Virginia,"Torbard,Tannie"
121,5815 Blaine Plaza,33.5446,-86.9292,Alabama,"Ditchett,Teador"
122,96173 8th Park,32.7233,-97.269,Texas,"Gumery,Agathe"
123,899 Fairview Terrace,36.1398,-96.0297,Oklahoma,"Wyke,Cos"
124,67281 Fuller Pass,27.777,-97.4632,Texas,"Klein,Dunc"
125,91680 Carberry Parkway,40.8469,-73.7874,New York,"Kuna,Cristal"
126,49 Eliot Park,34.7519,-92.3925,Arkansas,"Loughhead,Philly"
127,33 Graedel Trail,34.0324,-119.1343,California,"Honywill,Gerrie"
128,074 Sycamore Crossing,45.0058,-93.4193,Minnesota,"Hurleston,Gregory"
129,41130 Duke Point,27.4841,-82.5834,Florida,"Manderson,Emelen"
130,4 Donald Park,43.0314,-85.5503,Michigan,"Dumbell,Iggie"
131,7926 Dennis Alley,37.2742,-79.9579,Virginia,"Parman,Antonia"
132,54251 Everett Drive,32.7673,-96.7776,Texas,"Cristou,Curtis"
133,01833 Welch Crossing,41.8756,-87.6378,Illinois,"Borgesio,Teodora"
134,55978 Morrow Lane,35.0942,-85.1757,Tennessee,"Rodenburg,Trudy"
135,2983 Loeprich Place,44.4601,-88.0074,Wisconsin,"Ismay,Elvina"
136,938 Lien Pass,40.4344,-80.0248,Pennsylvania,"Pocknoll,Hilde"
137,6 Mockingbird Terrace,30.033,-89.8826,Louisiana,"Hawgood,Nathalie"
138,88938 Graedel Place,33.8444,-84.474,Georgia,"Brambill,Berry"
139,48 Tennyson Terrace,29.6223,-95.26,Texas,"Domelow,Elita"
140,80 Monument Parkway,39.734,-105.0259,Colorado,"Bound,Elyse"
141,5 Parkside Avenue,39.3093,-76.6699,Maryland,"Norwood,Ancell"
142,91112 Dexter Terrace,43.0696,-89.4239,Wisconsin,"Langmead,Adlai"
143,56552 Sachtjen Park,47.1591,-122.5485,Washington,"Spridgen,Stearn"
144,297 Gerald Junction,35.9279,-114.9721,Nevada,"Haestier,Ibrahim"
145,1024 Transport Center,33.0169,-116.846,California,"Edmonds,Claudianus"
146,30275 Waxwing Center,35.6124,-88.8412,Tennessee,"Creboe,Dorey"
147,2 Corscot Street,30.2906,-95.3832,Texas,"Borell,Leontyne"
148,5044 Canary Center,39.009,-77.4422,Virginia,"Aked,Ruthi"
149,79456 Delaware Avenue,30.2231,-81.7556,Florida,"Grigolashvill,Andros"
150,7998 Meadow Ridge Place,39.0663,-94.5674,Missouri,"Roscoe,Alysia"
151,21 Lake View Avenue,35.7977,-78.6253,North Carolina,"Hoble,Erika"
152,0 Lake View Lane,39.1075,-84.5257,Ohio,"Tillard,Noland"
153,77 Corben Junction,40.303,-76.8862,Pennsylvania,"Myhill,Cirstoforo"
154,047 Crownhardt Trail,30.0877,-89.8462,Louisiana,"Pegrum,Lorine"
155,29128 Kenwood Junction,40.43,-74.4173,New Jersey,"Davydzenko,Torie"
156,6417 Dayton Park,37.6808,-97.1558,Kansas,"Daykin,Anson"
157,8053 Merrick Pass,45.071,-92.9391,Minnesota,"Hawtrey,Kate"
158,5143 Laurel Trail,43.0214,-76.1977,New York,"Mulmuray,Marigold"
159,8516 Delladonna Court,38.945,-77.0364,District of Columbia,"Jellings,Angel"
160,6599 Miller Terrace,40.6914,-73.8061,New York,"Vosse,Hilly"
161,15 John Wall Court,40.8247,-73.894,New York,"Wooster,Keven"
162,19 Schurz Trail,31.3902,-97.7993,Texas,"Marmion,Nada"
163,41 Summer Ridge Circle,34.84,-115.9671,California,"Dukesbury,Corrie"
164,5 Hovde Plaza,40.0185,-76.2976,Pennsylvania,"Healings,Sadye"
165,12 Drewry Court,29.0227,-81.1722,Florida,"Kerner,Cedric"
166,8179 Russell Parkway,35.1334,-90.0046,Tennessee,"Nijs,Burr"
167,00 Eastwood Street,40.702,-74.089,New Jersey,"Dibbin,Bellanca"
168,233 Village Green Plaza,37.4009,-79.1785,Virginia,"D'Ambrogi,Elysha"
169,5 Dixon Court,41.5968,-86.293,Indiana,"Aim,Orton"
170,36585 Derek Hill,38.354,-81.6394,West Virginia,"Penner,Samaria"
171,047 Golf Course Trail,38.5309,-92.2493,Missouri,"Wittrington,Allie"
172,33 New Castle Hill,39.1668,-84.5382,Ohio,"Lownie,Andrei"
173,4455 Kingsford Street,42.3654,-71.2316,Massachusetts,"Mussen,Micky"
174,0560 Meadow Vale Terrace,43.6746,-96.7913,South Dakota,"Copcutt,Ulberto"
175,71 Barnett Point,38.8959,-77.0211,District of Columbia,"Deverick,Jennee"
176,5 Colorado Terrace,44.2595,-72.585,Vermont,"Carnachen,Puff"
177,7 Oxford Way,42.0144,-88.0935,Illinois,"Weson,Conchita"
178,987 Kingsford Junction,42.2922,-85.633,Michigan,"Denerley,Morena"
179,8 Bluejay Point,32.6076,-93.7526,Louisiana,"Selman,Fredric"
180,64536 Eliot Crossing,39.6505,-79.944,West Virginia,"Ammer,Rochette"
181,151 Cottonwood Hill,26.0989,-80.1541,Florida,"Bastistini,Rice"
182,7738 Memorial Way,30.6341,-88.0846,Alabama,"Cave,Nap"
183,42 Loeprich Crossing,33.786,-84.3514,Georgia,"Scholefield,Lizette"
184,4 Eastwood Pass,39.7467,-104.8384,Colorado,"Maymond,Hillel"
185,9762 Pearson Pass,38.2149,-85.6245,Kentucky,"Willan,Angelique"
186,64009 Green Ridge Alley,43.4599,-116.244,Idaho,"Soots,Darda"
187,16502 Anderson Court,35.2017,-89.9715,Tennessee,"Crumby,Baudoin"
188,41 Menomonie Lane,33.7866,-118.2987,California,"Swanton,Englebert"
189,76949 Norway Maple Trail,25.7341,-80.4068,Florida,"Pearsall,Errick"
190,8 Loeprich Street,39.0429,-95.7697,Kansas,"Andrews,Morris"
191,0889 Roth Avenue,47.0662,-122.1132,Washington,"Burril,Stevena"
192,84 Katie Crossing,34.1869,-118.348,California,"Reedy,Augie"
193,045 Eagan Junction,37.7211,-122.4754,California,"Writer,Hank"
194,884 Namekagon Circle,33.783,-118.0256,California,"Lambol,Ario"
195,297 Merry Park,38.9613,-94.8222,Kansas,"Wreiford,Davis"
196,830 Anniversary Road,43.4732,-83.9514,Michigan,"Housaman,Griselda"
197,253 Morning Hill,35.0425,-90.0732,Tennessee,"Nalder,Mariska"
198,160 Prairieview Center,33.7529,-116.0556,California,"Abbate,Charity"
199,88510 Lien Crossing,35.4015,-101.8951,Texas,"Blomfield,Marijn"
200,33 Vernon Court,40.081,-82.9383,Ohio,"Cadney,Merrilee"
201,5 Monterey Lane,40.2805,-74.712,New Jersey,"Linebarger,Gilbertine"
202,6 Vermont Place,45.4918,-122.7267,Oregon,"Wyndham,Che"
203,527 Jackson Circle,38.8933,-77.0146,District of Columbia,"Mazillius,Conney"
204,4 Dennis Junction,33.2765,-112.1872,Arizona,"Ebenezer,Saxe"
205,722 Roth Hill,38.3365,-77.4366,Virginia,"Mawdsley,Towney"
206,7596 Jenna Park,32.3366,-111.1771,Arizona,"Tufts,Jeffy"
207,80087 Lighthouse Bay Alley,29.4375,-98.4616,Texas,"Pender,Norton"
208,62694 Johnson Circle,35.2017,-89.9715,Tennessee,"Rosenhaupt,Ashlee"
209,19 Mallory Plaza,38.2868,-85.7321,Indiana,"Drewet,Lucas"
210,5540 Anthes Court,33.8932,-84.2539,Georgia,"Liebmann,Haily"
211,59241 Ilene Crossing,40.7808,-73.9772,New York,"Ronci,Gavan"
212,735 Cody Court,39.6888,-105.156,Colorado,"Elnor,Terri"
213,5362 Comanche Pass,27.7391,-82.6435,Florida,"Long,Micheline"
214,17 Butternut Hill,40.0018,-75.1179,Pennsylvania,"Harvison,Georges"
215,241 Texas Junction,35.5514,-97.4075,Oklahoma,"Witcher,Brig"
216,15529 Comanche Plaza,38.189,-85.6768,Kentucky,"Dent,Sam"
217,2244 Victoria Place,32.2519,-110.82,Arizona,"Roxburch,Skye"
218,7 Pankratz Park,34.2651,-77.867,North Carolina,"Parradine,Arman"
219,5859 Bultman Street,39.7655,-89.7293,Illinois,"Witchalls,Bran"
220,6 Cordelia Lane,37.0318,-76.3199,Virginia,"Broadnicke,Tatum"
221,64267 Rusk Drive,26.045,-81.6669,Florida,"Grotty,Maxwell"
222,27 Claremont Park,41.9453,-87.7474,Illinois,"Di Frisco,Willetta"
223,14696 Maple Wood Trail,37.625,-77.4959,Virginia,"Stanners,Alysa"
224,7 Division Trail,33.4951,-86.8059,Alabama,"Ellesworthe,Kristan"
225,7146 Anderson Circle,27.8918,-82.7248,Florida,"Stapforth,Carree"
226,59 Weeping Birch Hill,36.7464,-119.6397,California,"Peerman,Grace"
227,5 Kennedy Crossing,36.2471,-115.221,Nevada,"Aldwich,Robb"
228,81 Prentice Avenue,42.2464,-85.0045,Michigan,"MacAlpyne,Leanora"
229,05317 Village Trail,32.4968,-92.0756,Louisiana,"Harvett,Hakim"
230,5471 Summer Ridge Park,38.8933,-77.0146,District of Columbia,"Myring,Walt"
231,939 Rutledge Lane,40.2204,-74.7622,New Jersey,"Mewrcik,Bear"
232,4 Stuart Pass,37.3983,-122.0006,California,"Scripture,Kristofer"
233,15684 Johnson Street,36.9959,-122.0578,California,"Lalor,Debbi"
234,97579 Welch Street,41.613,-90.6063,Iowa,"Cutill,Arline"
235,28 Delaware Street,30.033,-89.8826,Louisiana,"Forsaith,Orbadiah"
236,14542 Monica Plaza,29.7853,-95.1852,Texas,"Turban,Scot"
237,7 Carey Court,41.3089,-73.3637,Connecticut,"Pauleau,Suzi"
238,5486 Superior Trail,36.7991,-119.8016,California,"Ghidelli,Denny"
239,7317 Dovetail Crossing,27.9246,-80.5235,Florida,"Macvey,Hallsy"
240,8 Bayside Way,36.8282,-76.0237,Virginia,"Morgen,Rey"
241,5228 Bluestem Terrace,38.8933,-77.0146,District of Columbia,"McCarter,Angelo"
242,0 Havey Terrace,29.9015,-95.2848,Texas,"Dudgeon,Dallas"
243,19557 Loeprich Crossing,45.0059,-93.1059,Minnesota,"Yaakov,Osbourne"
244,3 Porter Plaza,38.896,-77.0177,District of Columbia,"Danelet,Noami"
245,96 Merrick Pass,35.411,-97.4388,Oklahoma,"Skoughman,Paddy"
246,8 Orin Street,40.6412,-74.0133,New York,"Mcsarry,Mendel"
247,25 Northview Trail,37.1894,-121.7053,California,"Starmont,Karine"
248,247 Clyde Gallagher Place,32.9189,-96.7751,Texas,"McGuigan,Allin"
249,999 Sherman Drive,44.8055,-93.7665,Minnesota,"McAndie,Bryan"
250,17158 Prairie Rose Road,45.5137,-122.5569,Oregon,"Grigoliis,Fax"
251,41 Helena Junction,39.9597,-75.2024,Pennsylvania,"Lope,Helen-elizabeth"
252,55835 Green Ridge Park,33.8444,-84.474,Georgia,"MacHostie,Joey"
253,26 Linden Point,35.2211,-85.2091,Tennessee,"Harken,Nissa"
254,86706 Independence Hill,39.1075,-84.5257,Ohio,"Elwood,Alyson"
255,54 3rd Place,40.0903,-75.041,Pennsylvania,"Towey,Ignacius"
256,47582 Lyons Avenue,36.7464,-119.6397,California,"Blesli,Nicolea"
257,7 Little Fleur Way,41.4509,-81.619,Ohio,"Avo,Shea"
258,6090 Lillian Road,33.2781,-111.7096,Arizona,"Sparks,Christophe"
259,89500 Delladonna Court,33.9335,-84.3958,Georgia,"Spinella,Patrica"
260,81763 Hansons Court,47.1591,-122.5485,Washington,"Flanders,Ethel"
261,1870 Graceland Place,32.7948,-96.7697,Texas,"Nardi,Boothe"
262,14689 Sutteridge Crossing,32.7673,-96.7776,Texas,"Moat,Laurens"
263,3 Starling Parkway,32.0175,-80.997,Georgia,"Matyushenko,Pepillo"
264,5073 American Ash Crossing,35.0448,-106.6893,New Mexico,"Rumin,Hall"
265,05 Dakota Trail,40.8529,-96.7943,Nebraska,"Hamley,Manya"
266,29652 Moulton Center,35.0512,-106.7269,New Mexico,"Stonier,Allen"
267,54664 Tennessee Plaza,32.7948,-96.7697,Texas,"Arunowicz,Ramsay"
268,7 Mifflin Crossing,38.9381,-77.086,District of Columbia,"Davydoch,Brinn"
269,1634 Oak Valley Crossing,29.834,-95.4342,Texas,"Jeannequin,Laure"
270,3 Ridgeview Trail,39.9671,-83.0044,Ohio,"Baynom,Suellen"
271,852 Roxbury Park,41.776,-87.6674,Illinois,"McCarroll,Lorri"
272,6 Lotheville Way,30.085,-94.2607,Texas,"Naismith,Miller"
273,461 Talmadge Point,39.2627,-94.697,Missouri,"Hember,Rhiamon"
274,5 Fairfield Hill,42.2492,-71.8108,Massachusetts,"Slater,Chickie"
275,677 Monument Center,26.5747,-80.0794,Florida,"Jebb,Birk"
276,3 Blue Bill Park Plaza,32.69,-96.9177,Texas,"Dik,Sapphira"
277,14 Green Circle,35.9279,-114.9721,Nevada,"Yarnall,Dick"
278,7896 Florence Center,40.7918,-74.2452,New Jersey,"Tembridge,Marion"
279,6550 Bonner Pass,42.7325,-84.5587,Michigan,"Antognoni,Karna"
280,720 Farwell Pass,43.6783,-70.1987,Maine,"Lowres,Clo"
281,5924 Kingsford Trail,40.6451,-73.945,New York,"Coorington,Aymer"
282,997 Montana Park,40.0018,-75.1179,Pennsylvania,"Davidovich,Mayer"
283,31588 Oak Hill,33.8444,-84.474,Georgia,"Bartoszewicz,Cecilius"
284,0071 School Drive,33.0169,-116.846,California,"Lavies,Brittani"
285,15 Macpherson Parkway,29.7853,-95.1852,Texas,"McCumesky,Dacia"
286,148 Sullivan Avenue,37.0206,-76.3377,Virginia,"Rustman,Hubert"
287,779 Summit Trail,28.0081,-82.5805,Florida,"Smorthit,Humfrid"
288,8482 Dahle Trail,34.7519,-92.3925,Arkansas,"Astin,Haslett"
289,9901 Bayside Trail,40.7324,-74.0431,New Jersey,"Pach,Martie"
290,172 Northview Point,32.3401,-80.689,South Carolina,"Cawdron,Van"
291,903 Bultman Center,38.3774,-121.4444,California,"Frondt,Rafaelita"
292,93659 Warbler Avenue,40.3886,-75.9328,Pennsylvania,"Strick,Ancell"
293,34544 Ridgeview Street,39.7617,-84.1498,Ohio,"Rowlatt,Mariellen"
294,6908 Forest Run Terrace,36.5799,-82.5733,Tennessee,"Lakes,Cecilius"
295,26351 Jenna Park,26.1654,-80.2959,Florida,"McGookin,Craig"
296,7 Hermina Drive,33.9335,-84.3958,Georgia,"Bavidge,Donelle"
297,61621 Goodland Court,41.7918,-72.7188,Connecticut,"Muselli,Phillida"
298,5 Carioca Pass,40.7779,-82.4613,Ohio,"Gwalter,Bobbette"
299,23998 Riverside Drive,37.1376,-84.1156,Kentucky,"Leathlay,Murvyn"
300,52341 Elgar Terrace,32.4589,-93.7143,Louisiana,"Peet,Peggi"
301,311 Harper Trail,35.5514,-97.4075,Oklahoma,"Siggee,Didi"
302,4339 Blue Bill Park Lane,35.2017,-89.9715,Tennessee,"Wrout,Dion"
303,9229 School Park,33.6062,-117.8931,California,"Motion,Abey"
304,3 Holy Cross Drive,33.4061,-112.0265,Arizona,"Copping,Hillary"
305,46186 Arrowood Plaza,25.5593,-80.3483,Florida,"Barrowclough,Niccolo"
306,835 Meadow Valley Road,39.731,-104.9384,Colorado,"Zylbermann,Dionisio"
307,17687 Lillian Court,33.1903,-97.1282,Texas,"Bamlet,Sloane"
308,50558 Texas Way,39.7617,-84.1498,Ohio,"Sanney,Hughie"
309,3 1st Avenue,39.9845,-75.2282,Pennsylvania,"Bryenton,Harlen"
310,62 Pierstorff Pass,42.3823,-71.0323,Massachusetts,"Fendley,Ashely"
311,280 Loftsgordon Terrace,30.2407,-81.893,Florida,"Kalkofen,Umeko"
312,66 Killdeer Center,39.2847,-76.6205,Maryland,"Foster,Grayce"
313,7793 Mallard Street,36.1398,-96.0297,Oklahoma,"Kahane,Griffie"
314,17416 Glacier Hill Crossing,40.7918,-74.2452,New Jersey,"Pennini,Marvin"
315,52 Spaight Plaza,38.189,-85.6768,Kentucky,"Yanshinov,Emelina"
316,3 Mitchell Point,34.006,-80.9708,South Carolina,"Meriel,Odetta"
317,19732 Truax Street,33.2765,-112.1872,Arizona,"Bottom,Thedric"
318,480 Dawn Street,21.3278,-157.8294,Hawaii,"Debenham,Lyon"
319,102 Clemons Place,43.0214,-76.1977,New York,"Lanceter,Gusty"
320,65 Arizona Crossing,37.7641,-122.1633,California,"Entwhistle,Knox"
321,38349 Jackson Terrace,40.6681,-111.9083,Utah,"Hamal,Alana"
322,239 Nobel Way,43.073,-89.4528,Wisconsin,"Kennsley,Elie"
323,86 Shasta Alley,35.22,-80.7881,North Carolina,"Eisak,Wainwright"
324,0308 Maywood Center,44.4601,-88.0074,Wisconsin,"Camilio,Bernadette"
325,3 Sunbrook Crossing,37.7639,-97.4269,Kansas,"Hargerie,Vere"
326,79 Arkansas Plaza,43.1577,-77.608,New York,"Dallender,Betteann"
327,2 Eastwood Road,32.8067,-83.6913,Georgia,"McKeowon,Tori"
328,7 Pennsylvania Alley,27.8918,-82.7248,Florida,"Griffen,Annabell"
329,75 Forest Dale Pass,38.9776,-77.386,Virginia,"Bonhomme,Tann"
330,991 Pierstorff Trail,36.1398,-96.0297,Oklahoma,"Red,Moishe"
331,707 Myrtle Plaza,32.6796,-97.3336,Texas,"Kitchinghan,Kerr"
332,0727 Northridge Park,40.7442,-89.7184,Illinois,"Rycroft,Normand"
333,87218 Sachtjen Street,30.4455,-97.6595,Texas,"de Mullett,Corrianne"
334,4 2nd Way,47.6536,-117.4317,Washington,"Kensit,Norby"
335,82 Meadow Vale Court,37.5242,-77.4932,Virginia,"Fergyson,Burton"
336,8074 Maple Wood Parkway,39.035,-94.3567,Missouri,"Scutts,Chalmers"
337,6 Sundown Plaza,31.6948,-106.3,Texas,"Brunelli,Putnam"
338,09 Sloan Alley,30.4124,-87.2035,Florida,"Geldart,Pierre"
339,47 Eastlawn Place,37.6374,-122.067,California,"Ballsdon,Pasquale"
340,90195 Brickson Park Terrace,28.5559,-81.3535,Florida,"Scipsey,Roman"
341,742 Vahlen Road,27.9694,-80.6473,Florida,"Fredi,Millisent"
342,5 Old Gate Alley,39.7495,-89.606,Illinois,"Borles,Angeli"
